/cmlscratch/xliu1231/anaconda3/lib/python3.7/site-packages/torch/distributed/launch.py:186: FutureWarning: The module torch.distributed.launch is deprecated
and will be removed in future. Use torchrun.
Note that --use_env is set by default in torchrun.
If your script expects `--local_rank` argument to be set, please
change it to read from `os.environ['LOCAL_RANK']` instead. See 
https://pytorch.org/docs/stable/distributed.html#launch-utility for 
further instructions

  FutureWarning,
WARNING:torch.distributed.run:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
model: vae
dataset: CelebA
batch size is 128
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
# of training samples:  50688
Epoch: [4][30/396]	Time 0.044 (0.064)	Speed 11556.969 (8035.770)	Loss 0.16305 (0.1675)	
Epoch: [4][40/396]	Time 0.062 (0.063)	Speed 8248.129 (8087.828)	Loss 0.16597 (0.1671)	
Epoch: [4][50/396]	Time 0.046 (0.060)	Speed 11034.965 (8544.213)	Loss 0.16805 (0.1673)	
Epoch: [4][60/396]	Time 0.059 (0.060)	Speed 8626.313 (8557.788)	Loss 0.16271 (0.1665)	
Epoch: [4][70/396]	Time 0.047 (0.058)	Speed 10815.697 (8820.853)	Loss 0.17151 (0.1673)	
Epoch: [4][80/396]	Time 0.062 (0.059)	Speed 8270.250 (8748.052)	Loss 0.16806 (0.1674)	
Epoch: [4][90/396]	Time 0.045 (0.057)	Speed 11487.494 (8986.157)	Loss 0.16050 (0.1666)	
Epoch: [4][100/396]	Time 0.064 (0.058)	Speed 8057.507 (8883.769)	Loss 0.16672 (0.1666)	
Epoch: [4][110/396]	Time 0.048 (0.057)	Speed 10729.591 (9024.911)	Loss 0.16347 (0.1663)	
Epoch: [4][120/396]	Time 0.065 (0.057)	Speed 7928.726 (8922.117)	Loss 0.16271 (0.1660)	
Epoch: [4][130/396]	Time 0.047 (0.057)	Speed 10848.178 (9045.658)	Loss 0.15986 (0.1655)	
Epoch: [4][140/396]	Time 0.065 (0.057)	Speed 7919.884 (8954.738)	Loss 0.17058 (0.1659)	
Epoch: [4][150/396]	Time 0.046 (0.056)	Speed 11186.809 (9075.458)	Loss 0.16337 (0.1657)	
Epoch: [4][160/396]	Time 0.064 (0.057)	Speed 7946.709 (8995.600)	Loss 0.16187 (0.1655)	
Epoch: [4][170/396]	Time 0.049 (0.056)	Speed 10455.038 (9070.077)	Loss 0.16427 (0.1654)	
Epoch: [4][180/396]	Time 0.064 (0.057)	Speed 7984.546 (9002.084)	Loss 0.16164 (0.1652)	
Epoch: [4][190/396]	Time 0.045 (0.056)	Speed 11281.117 (9098.830)	Loss 0.16317 (0.1651)	
Epoch: [4][200/396]	Time 0.070 (0.057)	Speed 7365.255 (8992.995)	Loss 0.16794 (0.1652)	
Epoch: [4][210/396]	Time 0.047 (0.056)	Speed 10789.461 (9064.867)	Loss 0.16285 (0.1651)	
Epoch: [4][220/396]	Time 0.071 (0.057)	Speed 7201.860 (8959.518)	Loss 0.16142 (0.1650)	
Epoch: [4][230/396]	Time 0.049 (0.057)	Speed 10405.221 (9013.970)	Loss 0.16223 (0.1648)	
Epoch: [4][240/396]	Time 0.070 (0.057)	Speed 7313.386 (8927.474)	Loss 0.16736 (0.1650)	
Epoch: [4][250/396]	Time 0.049 (0.057)	Speed 10405.393 (8978.484)	Loss 0.16155 (0.1648)	
Epoch: [4][260/396]	Time 0.065 (0.057)	Speed 7901.836 (8931.677)	Loss 0.16366 (0.1648)	
Epoch: [4][270/396]	Time 0.052 (0.057)	Speed 9934.217 (8965.186)	Loss 0.16365 (0.1647)	
Epoch: [4][280/396]	Time 0.063 (0.057)	Speed 8112.191 (8931.645)	Loss 0.16497 (0.1647)	
Epoch: [4][290/396]	Time 0.048 (0.057)	Speed 10652.047 (8981.666)	Loss 0.16301 (0.1647)	
Epoch: [4][300/396]	Time 0.066 (0.057)	Speed 7740.473 (8933.914)	Loss 0.16084 (0.1645)	
Epoch: [4][310/396]	Time 0.049 (0.057)	Speed 10431.190 (8975.473)	Loss 0.15653 (0.1643)	
Epoch: [4][320/396]	Time 0.066 (0.057)	Speed 7716.246 (8929.933)	Loss 0.15859 (0.1641)	
Epoch: [4][330/396]	Time 0.048 (0.057)	Speed 10629.297 (8973.406)	Loss 0.15617 (0.1639)	
